,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
360,Khor,0,RU,10/22/2019,73,47.88,134.96,37.94,3.91
361,Rome,100,IT,10/22/2019,64,41.89,12.48,73.4,4.7
362,Dodoma,20,TZ,10/22/2019,39,-6.18,35.75,82.4,20.8
363,Pangnirtung,75,CA,10/22/2019,79,66.15,-65.72,28.4,1.99
364,Staunton,90,US,10/22/2019,100,38.15,-79.07,61,10.29
365,Riverton,1,US,10/22/2019,42,43.02,-108.38,55,9.17
366,Tommot,100,RU,10/22/2019,87,58.97,126.27,26.02,4.74
367,Shieli,92,KZ,10/22/2019,42,44.18,66.74,43.12,4.68
368,Gladstone,17,AU,10/22/2019,68,-23.84,151.26,66.2,5.82
369,Veraval,20,FR,10/22/2019,100,49.65,0.71,52,1.12
370,Sao Joao da Barra,90,BR,10/22/2019,73,-21.64,-41.05,75.2,6.93
371,Talaya,40,RU,10/22/2019,86,55.79,84.89,28,13.42
372,Sungaipenuh,99,ID,10/22/2019,79,-2.08,101.38,62.71,3.31
373,Carmo do Paranaiba,81,BR,10/22/2019,64,-19,-46.32,80.01,1.99
374,Kaseda,56,JP,10/22/2019,91,31.42,130.32,67.8,3.8
375,Pogoanele,5,RO,10/22/2019,93,44.91,26.99,53.6,2.24
376,Borogontsy,100,RU,10/22/2019,88,62.67,131.17,19.4,7.02
377,Ponnani,75,IN,10/22/2019,83,10.77,75.93,80.6,3.36
378,Henties Bay,28,NA,10/22/2019,84,-22.12,14.28,61,7
379,Carutapera,54,BR,10/22/2019,75,-1.2,-46.02,81.27,12.91
380,Thohoyandou,93,ZA,10/22/2019,71,-22.97,30.46,67.71,8.48
381,Trincomalee,100,LK,10/22/2019,92,8.58,81.23,73.56,6.02
382,Goderich,42,CA,10/22/2019,68,43.74,-81.71,61,26.08
383,Batticaloa,100,LK,10/22/2019,92,7.71,81.69,75.27,2.08
384,Deputatskiy,100,RU,10/22/2019,79,69.3,139.9,10.96,1.88
385,Ternate,20,PH,10/22/2019,69,14.29,120.72,82.4,4.7
386,Mongo,87,CD,10/22/2019,93,-5.62,14.6,70.75,3.11
387,Aykhal,33,RU,10/22/2019,92,65.95,111.51,5,2.24
388,Namatanai,97,PG,10/22/2019,72,-3.66,152.44,82.44,6.91
389,Port Hardy,40,CA,10/22/2019,81,50.7,-127.42,50,1.59
390,Magdalena,20,PH,10/22/2019,69,14.2,121.43,82.4,4.7
391,Benguela,40,AO,10/22/2019,94,-12.58,13.4,77,13.87
392,Ojinaga,1,US,10/22/2019,19,29.56,-104.41,69.8,3.02
393,Plettenberg Bay,55,ZA,10/22/2019,72,-34.05,23.37,59.04,10.18
394,Santa Rosa,0,AR,10/22/2019,18,-36.62,-64.29,72.34,15.77
395,Kargasok,94,RU,10/22/2019,81,59.06,80.87,30.34,15.1
396,Warangal,99,IN,10/22/2019,90,17.99,79.6,73.24,2.3
397,Sergeyevka,100,KZ,10/22/2019,84,53.88,67.42,34.88,16.55
398,Darnah,0,LY,10/22/2019,73,32.77,22.64,72.9,14.5
399,Bilibino,48,RU,10/22/2019,100,68.06,166.44,-7.93,0.96
400,Flinders,75,AU,10/22/2019,93,-34.58,150.85,62.01,6.6
401,Vilyuysk,78,RU,10/22/2019,86,63.75,121.63,19.27,6.85
402,Viedma,97,AR,10/22/2019,68,-40.81,-62.99,55.56,19.24
403,Tieli,2,CN,10/22/2019,42,46.98,128.05,38.75,4.68
404,Yulara,0,AU,10/22/2019,20,-25.24,130.99,64.4,4.7
405,Tonantins,80,BR,10/22/2019,42,-2.86,-67.77,96.49,2.77
406,Moen,87,BE,10/22/2019,87,50.77,3.4,57,2.24
407,Maryville,20,US,10/22/2019,48,35.76,-83.97,70,13.87
408,Llandrindod Wells,90,GB,10/22/2019,87,52.24,-3.38,50,1.99
409,Yerbogachen,70,RU,10/22/2019,84,61.28,108.01,19.02,4.88
410,Gbadolite,26,CD,10/22/2019,94,4.28,21,72.3,0.98
411,Jhawarian,11,PK,10/22/2019,34,32.36,72.63,75.15,4.61
412,Abalak,35,NE,10/22/2019,12,15.46,6.28,95.18,10.36
413,Togur,98,RU,10/22/2019,75,58.36,82.83,28.11,10.54
414,Kruisfontein,52,ZA,10/22/2019,72,-34,24.73,53.31,19.89
415,Havre-Saint-Pierre,1,CA,10/22/2019,66,50.23,-63.6,42.8,6.93
416,Bayan,80,CN,10/22/2019,73,36.1,102.26,38.26,0.67
417,Simpang,100,ID,10/22/2019,97,4.36,96.17,73.24,2.01
418,Haysville,1,US,10/22/2019,35,37.56,-97.35,62.01,10.29
419,Vila Franca do Campo,20,PT,10/22/2019,60,37.72,-25.43,69.8,6.93
420,Yokadouma,54,CM,10/22/2019,95,3.52,15.05,71.71,2.8
421,Los Andes,55,CL,10/22/2019,15,-32.83,-70.6,82.99,6.93
422,Agirish,72,RU,10/22/2019,78,61.92,63.02,27.19,12.59
423,Pavlodar,95,KZ,10/22/2019,86,52.28,76.96,26.6,6.71
424,Hualmay,6,PE,10/22/2019,56,-11.1,-77.61,70.32,10.6
425,Siljan,97,NO,10/22/2019,81,59.29,9.71,51.8,17.22
426,Mackay,75,CA,10/22/2019,45,53.65,-115.58,32,4.7
427,Delta del Tigre,17,UY,10/22/2019,55,-34.76,-56.41,66.2,14.99
428,Mizan Teferi,13,ET,10/22/2019,98,6.99,35.58,62.35,3.15
429,Cayenne,20,GF,10/22/2019,55,4.94,-52.33,89.6,8.05
430,Badvel,100,IN,10/22/2019,88,14.74,79.07,74.17,1.03
431,Murgab,40,TM,10/22/2019,47,37.5,61.97,59,4.7
432,Vakhtan,98,RU,10/22/2019,88,57.97,46.69,34.84,5.66
433,Sovetskiy,88,RU,10/22/2019,89,56.76,48.47,34.56,5.17
434,Copiapo,75,CL,10/22/2019,63,-27.37,-70.33,62.6,17.22
435,Uruzgan,4,AF,10/22/2019,69,32.93,66.63,35.64,1.01
436,Ugoofaaru,97,MV,10/22/2019,79,5.67,73,82.58,9.13
437,Muisne,75,EC,10/22/2019,74,0.61,-80.02,84.2,9.17
438,Savona,83,IT,10/22/2019,68,44.31,8.48,71.6,13.87
439,Saint-Junien,75,FR,10/22/2019,93,45.89,0.9,55.99,13.87
440,Dalvik,75,SE,10/22/2019,87,57.79,14.13,50,13.87
441,Petrozavodsk,100,RU,10/22/2019,87,61.79,34.39,46.4,15.66
442,Pochutla,75,MX,10/22/2019,74,15.74,-96.47,86,9.46
443,Noumea,96,NC,10/22/2019,77,-22.28,166.46,73.99,2.24
444,Jacareacanga,20,BR,10/22/2019,66,-6.22,-57.76,87.8,2.24
445,Lillooet,75,CA,10/22/2019,54,50.69,-121.94,57.2,10.29
446,Tual,63,ID,10/22/2019,79,-5.67,132.75,77.94,6.6
447,Langham,20,CA,10/22/2019,74,52.36,-106.96,35.6,13.87
448,Twin Falls,20,US,10/22/2019,50,42.57,-114.46,59,12.75
449,Akita,82,JP,10/22/2019,79,39.72,140.1,58.8,2.91
450,Komsomolskiy,94,RU,10/22/2019,96,67.55,63.78,15.44,7.58
451,Nichinan,23,JP,10/22/2019,68,31.65,131.31,72.81,4.7
452,Gedo,15,ET,10/22/2019,76,9.01,37.45,54.48,4.23
453,Raudeberg,75,NO,10/22/2019,86,61.99,5.14,44.01,9.17
454,Grindavik,75,IS,10/22/2019,64,63.84,-22.43,35.6,18.34
455,Cherskiy,98,RU,10/22/2019,85,68.75,161.3,4.08,10.51
456,Sibolga,100,ID,10/22/2019,97,1.74,98.78,71.91,1.32
457,Ribera,97,IT,10/22/2019,89,37.5,13.27,71.01,5.99
458,Zabid,40,YE,10/22/2019,65,14.2,44.5,60.89,1.59
459,Casa Nova,98,BR,10/22/2019,50,-16.03,-44.16,83.59,3.98
460,Yuba City,1,US,10/22/2019,32,39.14,-121.62,73.99,4.5
461,Kano,20,NG,10/22/2019,34,11.99,8.53,93.2,13.87
462,Nelson Bay,0,AU,10/22/2019,82,-32.72,152.14,64.99,4.7
463,Rudnya,79,RU,10/22/2019,93,50.8,44.56,49.96,3.6
464,Aguimes,75,ES,10/22/2019,56,27.91,-15.45,71.6,18.34
465,Bonavista,100,CA,10/22/2019,88,48.65,-53.11,43,5.99
466,Maun,86,BW,10/22/2019,11,-19.99,23.42,95,3.36
467,Poitiers,100,FR,10/22/2019,82,46.58,0.34,55.99,12.75
468,Halifax,75,CA,10/22/2019,66,44.65,-63.58,60.01,11.41
469,Chake Chake,29,TZ,10/22/2019,83,-5.25,39.77,81.54,12.86
470,Kenai,90,US,10/22/2019,93,60.55,-151.26,39,6.93
471,Khani,75,GE,10/22/2019,100,41.96,42.96,60.8,3.36
472,Sedalia,1,US,10/22/2019,38,38.7,-93.23,57,18.34
473,Doha,0,QA,10/22/2019,66,25.29,51.53,87.8,5.82
474,Tanout,58,NE,10/22/2019,12,14.97,8.88,94.59,12.57
475,Nemuro,83,JP,10/22/2019,84,43.32,145.57,56.25,7.85
476,Lata,0,IN,10/22/2019,68,30.78,78.62,25.21,1.97
477,Faget,90,FR,10/22/2019,100,44.22,0.69,57.2,4.7
478,Buchanan,75,LR,10/22/2019,74,5.88,-10.05,86,7.11
479,Anamur,40,TR,10/22/2019,93,36.08,32.84,62.6,4.7
480,Almazar,40,UZ,10/22/2019,46,40.32,69.01,53.6,2.24
481,Eregli,33,TR,10/22/2019,56,37.51,34.05,58.73,6.78
482,Manosque,79,FR,10/22/2019,77,43.83,5.78,70,4.7
483,Iqaluit,75,CA,10/22/2019,83,63.75,-68.52,32,3.36
484,Houma,40,CN,10/22/2019,83,35.63,111.36,53.46,3.56
485,Kargopol,100,RU,10/22/2019,90,61.51,38.95,40.86,13.31
486,Bani Walid,0,LY,10/22/2019,49,31.76,14,72.72,13.47
487,Buraydah,40,SA,10/22/2019,28,26.33,43.97,82.4,2.24
488,Senno,85,RU,10/22/2019,71,57.76,27.95,57.2,13.42
489,Stepnyak,100,KZ,10/22/2019,63,52.83,70.79,32.43,18.23
490,Tura,79,RU,10/22/2019,97,64.27,100.22,9.12,0.45
491,Haflong,1,IN,10/22/2019,94,25.18,93.03,68.95,2.98
492,Tigre,75,AR,10/22/2019,28,-34.42,-58.58,71.01,12.75
493,Aksarka,96,RU,10/22/2019,97,66.56,67.8,22.8,8.63
494,Uravakonda,100,IN,10/22/2019,90,14.95,77.26,74.44,1.86
495,Tecoanapa,20,MX,10/22/2019,66,16.99,-99.26,87.8,3.36
496,Sao Felix do Xingu,95,BR,10/22/2019,46,-6.64,-51.99,91,4.72
497,Warrnambool,0,AU,10/22/2019,92,-38.38,142.48,50,10.02
498,Northam,40,AU,10/22/2019,93,-31.65,116.67,57.2,5.82
499,Grand Island,75,US,10/22/2019,46,40.92,-98.34,54,16.11
500,Perene,28,PE,10/22/2019,48,-10.95,-75.23,83.7,3.56
501,Veracruz,75,EC,10/22/2019,39,-3.97,-79.57,84.2,3.36
502,Saint-Georges,100,CA,10/22/2019,56,46.12,-70.67,57.99,1.99
503,Iberia,90,PE,10/22/2019,51,-11.41,-69.49,88.47,3.47
504,Kabo,50,CF,10/22/2019,88,7.69,18.62,72.43,0.83
505,Boysun,0,UZ,10/22/2019,25,38.2,67.2,49.06,4.45
506,Svetlogorsk,90,RU,10/22/2019,86,53.14,59.15,41,11.18
507,Hami,85,CN,10/22/2019,40,42.84,93.51,31.73,19.48
508,Estacion Coahuila,1,MX,10/22/2019,11,32.19,-115,87.01,13.87
509,Castro-Urdiales,75,ES,10/22/2019,93,43.38,-3.22,57.99,3.36
510,Sagua la Grande,40,CU,10/22/2019,55,22.81,-80.07,89.6,6.93
511,Vanimo,100,PG,10/22/2019,74,-2.67,141.3,82.94,9.17
512,Batemans Bay,1,AU,10/22/2019,95,-35.71,150.18,48.99,1.01
513,Sant Julia de Loria,100,AD,10/22/2019,90,42.46,1.49,62.01,1.01
514,Mabaruma,50,GY,10/22/2019,42,8.2,-59.78,92.3,3.67
515,Kars,40,TR,10/22/2019,57,40.61,43.1,50,4.7
516,Grand Baie,40,MU,10/22/2019,83,-20.02,57.58,75.2,2.24
517,Channel-Port aux Basques,2,CA,10/22/2019,79,47.57,-59.14,46.35,7.56
518,Sobolevo,75,RU,10/22/2019,91,54.43,31.9,54.86,10.49
519,Horadiz,75,AZ,10/22/2019,77,39.45,47.33,62.6,6.93
520,Strezhevoy,90,RU,10/22/2019,100,60.73,77.6,30.2,13.42
521,Iwata,75,JP,10/22/2019,88,34.71,137.85,62.6,1.12
522,Adrar,2,DZ,10/22/2019,12,27.87,-0.29,95,20.8
523,Grand-Santi,52,GF,10/22/2019,36,4.27,-54.38,97.05,2.21
524,Sao Jose da Coroa Grande,26,BR,10/22/2019,76,-8.9,-35.15,78.08,17.09
525,Emerald,0,AU,10/22/2019,72,-23.53,148.16,66.2,10.29
526,Lovozero,100,RU,10/22/2019,95,68.01,35.02,28.35,7.67
527,Kiama,75,AU,10/22/2019,93,-34.67,150.86,62.01,6.6
528,Dauphin,1,CA,10/22/2019,64,51.15,-100.04,39.2,17.22
